,content,title,authors,last_modified_by,created_date,modified_date,location,category,summary
98,"positionfull,nameparent,guardian,positionfull nameparent,nameparent guardian,crew,contact,listproduction,notesnamephoneemail,guardian crew,crew contact,contact listproduction,listproduction positionfull,guardian notesnamephoneemail",www.ciff.ae_documents_21001_209004_4.5_submission_crew_info.docx_97bb4560-9447-44e4-a10c-b5bae5e5d1f8.docx,Courtney Hicks,Deepak Jain,2013-10-09 11:50:00,2013-10-15 09:36:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.ciff.ae_documents_21001_209004_4.5_submission_crew_info.docx_97bb4560-9447-44e4-a10c-b5bae5e5d1f8.docx,non-confidential,"{'text_contents': {'tags': ['_______________________________________________________', '#positionfull nameparent / guardian', 'crew contact listproduction', 'positionfull nameparent / guardians', '/ notesnamephoneemail12345678910']}}"
99,"minorname,receivedremarks,notesmajor,receivedremarks notesmajor,notesmajor minorname,full,namenames,cast,contact,listproduction,character,playedmajor,minorcontact,parent,guardian,detailsrelease,form,yes,nomajor,phone,email,full namenames,namenames cast,cast contact,contact listproduction,listproduction character,character playedmajor,playedmajor minorcontact,minorcontact parent,parent guardian,guardian detailsrelease,detailsrelease form,form receivedremarks,minorname receivedremarks,minorname yes,yes nomajor,nomajor minorname,minorname phone,phone email",www.ciff.ae_documents_21001_209004_4.6_submission_cast_info.docx_ce2a5432-c341-437c-ab7d-bffdf97abcdc.docx,Courtney Hicks,Deepak Jain,2013-10-09 11:42:00,2013-10-15 09:36:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.ciff.ae_documents_21001_209004_4.6_submission_cast_info.docx_ce2a5432-c341-437c-ab7d-bffdf97abcdc.docx,non-confidential,"{'text_contents': {'tags': ['_______________________________________________________#full namename(s', 'cast contact listproduction', 'the character playedmajor / minorcontact or parent / guardians detailsrelease form received?remarks / notesmajor / minorname', 'received?remarks / notesmajor / minorname', 'yes / nomajor / minorname', 'phone', 'email']}}"
100,"care,service,permanent,residential,child,permanent care,care service,residential care,kinship,support,family,placement,incident,kinship care,support service,service child,care placement,care residential,protection,safety,typesother,community,organisation,state,foster,unit,provider,regional,service residential,service kinship,care support,child protection,protection family,family service,service family,family support,child safety,safety permanent,placement kinship,placement child,child incident,incident typesother,typesother incident,incident permanent,care care,care community,community service,service organisation,organisation state,state care,service foster,foster care,care unit,unit service,service provider,provider regional,regional service",www.dhhs.vic.gov.au_sites_default_files_documents_201612_human_20services_20additional_20service_20delivery_20data_202015-16_20_28child_20protection_29_20v4.docx,Perfromance and Reporting,Jax Hanna,2016-10-19 00:48:00,2016-10-19 00:54:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_201612_human_20services_20additional_20service_20delivery_20data_202015-16_20_28child_20protection_29_20v4.docx,non-confidential,"{'text_contents': {'tags': ['permanent care services', 'residential care services', 'kinship care support services', 'child protection', 'family services', 'family support services', 'child safety', 'permanent care placements', 'kinship care placements', 'most children', 'other incident typesother incidents', 'permanent care', 'residential care', 'care', 'community service organisations', 'state care', 'services', 'foster care', 'residential care units', 'service providers', 'regional services']}}"
101,"service,incident,client,human,funded,community,organisation,disability,servicesdisability,additional,medical,incident incident,funded community,community service,service organisation,human servicesdisability,servicesdisability service,typesother,behaviour,reporting,report,serious,behavioural,issue,provider,specialist,shared,supported,residential,accommodation,staff,safety,death,delivery,data,servicesthe,department,condition,recent,safeguard,attention,incident typesother,typesother incident,incident behaviour,behaviour incident,incident reporting,reporting funded,organisation incident,incident report,report disability,disability client,client client,client serious,serious client,client behavioural,behavioural issue,issue service,service provider,provider service,service specialist,specialist service,service shared,shared supported,supported residential,residential accommodation,accommodation human,service human,human service,service client,client staff,staff safety,safety client,client death,death human,service additional,additional service,service delivery,delivery data,data disability,disability servicesthe,servicesthe department,department funded,organisation medical,medical condition,condition recent,recent additional,additional safeguard,safeguard medical,medical attention",www.dhhs.vic.gov.au_sites_default_files_documents_201612_human_20services_20additional_20service_20delivery_20data_202015-16_20_28disability_29_20.docx,Performance and Reporting,Louise Crowther,2016-09-07 02:17:00,2016-10-07 04:41:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_201612_human_20services_20additional_20service_20delivery_20data_202015-16_20_28disability_29_20.docx,non-confidential,"{'text_contents': {'tags': ['other incident typesother incidents', 'behaviour incidents', 'incident reporting', 'funded community service organisations', 'incident', 'incident reports', 'disability clients', 'clients', 'serious client behavioural issues', 'service providers', 'services', 'specialist services', 'shared supported residential accommodation', 'human servicesdisability services', 'human services', 'client or staff safety', 'the client death', 'human servicesdisability services additional service delivery data 2015-16disability servicesthe department and funded community service organisations', 'medical condition', 'recent additional safeguards', 'medical attention']}}"
102,"incident,assault,justice,reporting,youth,physical,client,incident reporting,youth justice,custodial,service,data,young,assault incident,reporting incident,justice custodial,typesother,report,centre,serious,behavioural,issue,human,servicesyouth,additional,delivery,annual,daily,average,number,male,person,force,provider,legislative,change,two,precinct,alleged,sexual,incident typesother,typesother incident,incident assault,incident incident,incident report,report incident,incident youth,custodial centre,centre physical,physical assault,assault client,client serious,serious client,client behavioural,behavioural issue,issue human,human servicesyouth,servicesyouth justice,justice additional,additional service,service delivery,delivery data,data annual,annual daily,daily average,average number,number young,young male,male assault,reporting data,data young,young person,person youth,justice client,client physical,physical force,force service,service provider,provider legislative,legislative change,change two,two youth,custodial precinct,precinct alleged,alleged physical,physical sexual,sexual assault",www.dhhs.vic.gov.au_sites_default_files_documents_201612_human_20services_20additional_20service_20delivery_20data_202015-16_20_28youth_20justice_29_20v2.docx,Perfromance and Reporting,Jax Hanna,2016-10-19 00:46:00,2016-10-19 00:55:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_201612_human_20services_20additional_20service_20delivery_20data_202015-16_20_28youth_20justice_29_20v2.docx,non-confidential,"{'text_contents': {'tags': ['other incident typesother incidents', 'assault incidents', 'incident reports', 'incident reporting', 'incidents', 'youth justice custodial centres', 'physical assaults', 'clients', 'serious client behavioural issues', 'human servicesyouth justice additional service delivery data', '17.9the annual daily average number', 'young males', 'assault', '923.incident reporting incident reporting data', 'young person', 'all youth justice clients', 'physical force', 'service providers', 'legislative changes', 'two youth justice custodial precincts', 'alleged physical and sexual assaults']}}"
103,"owned,unit,owned unit,director,director owned,housing,stock,division,public,owned stock,division director,othercommunity,local,rental,owned othercommunity,additionsdirector,leased,indirector,onlinedirector,areadirector,new,constructiondirector,spot,purchasedirector,conversion,east,direct,tenure,additionsdirector owned,owned leased,leased indirector,indirector owned,stock onlinedirector,onlinedirector owned,areadirector owned,new constructiondirector,constructiondirector owned,owned spot,spot purchasedirector,purchasedirector owned,stock conversion,unit east,east division,unit director,direct tenure,tenure public,public rental,rental housing,public housing,ownedtotaleastnorthsouthwesttotaldirector,acquisition,south,total,north,west,area,ownedtotalhume,morelandloddonmalleenorth,eastern,government,dwelling,wimmerawhitehorsewhittleseawodongawyndhamyarrayarra,rangesyarriambiacktotaldirector,consists,social,general,client,sale,othercommunity ownedtotaleastnorthsouthwesttotaldirector,ownedtotaleastnorthsouthwesttotaldirector owned,owned acquisition,acquisition south,south division,unit total,total director,unit local,local areadirector,owned new,conversion north,north division,unit west,west division,division local,local area,area director,unit additionsdirector,othercommunity ownedtotalhume,ownedtotalhume morelandloddonmalleenorth,morelandloddonmalleenorth eastern,eastern new,conversion local,local government,government areadirector,owned dwelling,dwelling wimmerawhitehorsewhittleseawodongawyndhamyarrayarra,wimmerawhitehorsewhittleseawodongawyndhamyarrayarra rangesyarriambiacktotaldirector,rangesyarriambiacktotaldirector owned,unit direct,housing direct,housing consists,consists social,social housing,housing stock,stock rental,rental general,general housing,housing public,housing client,client owned,owned sale,sale public,housing owned",www.dhhs.vic.gov.au_sites_default_files_documents_201703_human_20services_20additional_20service_20delivery_20data_202015-16_20_social_20housing_20170314_1.docx,Performance and Reporting,Aysegul Baba,2017-03-16 05:52:00,2017-03-16 05:52:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_201703_human_20services_20additional_20service_20delivery_20data_202015-16_20_social_20housing_20170314_1.docx,non-confidential,"{'text_contents': {'tags': ['additionsdirector owned leased indirector owned stock onlinedirector owned othercommunity ownedtotaleast54201000131197north67202001170260south12003100260303west311171511536602total16451776121,0971,362director owned acquisitions', 'south division director owned units', 'total director owned units', 'local areadirector owned new constructiondirector owned spot purchasedirector owned stock conversion', 'north division director owned units', 'west division director owned units', 'east division director owned units', 'east division local area director owned units', 'director owned units', 'additionsdirector owned leased indirector owned stock onlinedirector owned othercommunity ownedtotalhume moreland1310200132148loddon7100001018mallee20000013north eastern', 'new constructiondirector owned spot purchasedirector owned stock conversion', 'local government area22director owned units', 'director owned dwellings', 'wimmera112000000316whitehorse438827526501644101471,599whittlesea53523130029032361,037wodonga6813901130016041191,323wyndham4762160004901230972yarra160972119202,761058178215,720yarra ranges3072052046063019108768yarriambiack19240004001360total24,74228,0612,4627,3307,5691,2911,32984612,63686,266director owned units', 'direct tenure public rental housing direct tenure public rental housing consists', 'social housing stock', 'rental general housing', 'public housing clients', 'owned sales', 'public housing', 'owned othercommunity']}}"
104,"care,child,protection,child protection,residential,service,permanent,residential care,permanent care,demand,kinship,placement,protection demand,care service,service permanent,kinship care,care placement,practitioner,demandchild,unborn,protectionservices,support,matter,state,foster,unit,placementssome,alternative,arrangement,protection child,protection practitioner,practitioner child,demand child,protection demandchild,demandchild protection,demand unborn,unborn child,child residential,service child,child protectionservices,protectionservices child,child kinship,care support,support service,placement kinship,placement care,care care,care matter,matter residential,care state,state care,care permanent,care foster,foster care,care residential,care unit,unit care,care placementssome,placementssome alternative,alternative care,care arrangement",www.dhhs.vic.gov.au_sites_default_files_documents_201710_child_20protection_20and_20family_20services_20additional_20service_20delivery_20data_202016_e2_80_9317.docx,Perfromance and Reporting,Sarah Alexander,2017-10-26 04:13:00,2017-10-26 04:13:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_201710_child_20protection_20and_20family_20services_20additional_20service_20delivery_20data_202016_e2_80_9317.docx,non-confidential,"{'text_contents': {'tags': ['child protection', 'child protection practitioners', 'child protection demand', 'child protection demandchild protection demand', 'unborn children', 'residential care services', 'permanent care services', 'child protectionservices', 'were:12,314 children', 'kinship care support services', 'permanent care placements', 'kinship care placements', 'care', 'care matters', 'residential care', 'state care', 'permanent care', 'foster care', 'residential care units', 'care placementssome', 'alternative care arrangements']}}"
105,"incident,service,client,reporting,disability,data,incident reporting,client incident,typesother,behaviour,report,funded,community,organisation,serious,behavioural,issue,deathassaultbehaviourother,additional,delivery,provider,specialist,human,shared,supported,residential,accommodation,servicesincident,communitysupported,accommodationincident,ongoing,support,creative,common,attribution,people,incident typesother,typesother incident,incident incident,reporting behaviour,behaviour incident,incident disability,disability client,incident report,report client,incident funded,funded community,community service,service organisation,organisation serious,serious client,client behavioural,behavioural issue,issue client,client deathassaultbehaviourother,deathassaultbehaviourother incident,incident additional,additional service,service delivery,delivery data,data service,service provider,provider service,service specialist,specialist service,service human,human service,service shared,shared supported,supported residential,residential accommodation,accommodation disability,disability servicesincident,servicesincident communitysupported,communitysupported accommodationincident,accommodationincident reporting,reporting incident,reporting data,data ongoing,ongoing support,support creative,creative common,common attribution,attribution people",www.dhhs.vic.gov.au_sites_default_files_documents_201710_disability_20services_20additional_20service_20delivery_20data_202016_e2_80_9317.docx,Performance and Reporting,Sarah Alexander,2017-10-26 04:14:00,2017-10-26 04:14:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_201710_disability_20services_20additional_20service_20delivery_20data_202016_e2_80_9317.docx,non-confidential,"{'text_contents': {'tags': ['other incident typesother incidents', 'incident reporting', 'behaviour incidents', 'disability clients', 'incident reports', 'clients', 'incidents', 'funded community service organisations', 'serious client behavioural issues', '17client death84assault651behaviour170other incident', 'additional service delivery data', 'service providers', 'services', 'specialist services', 'human services', 'shared supported residential accommodation', 'disability servicesincident', 'the community4,064supported accommodation1,636incident reporting incident reporting data', 'ongoing support', 'creative commons attribution', 'other people']}}"
106,"owned,unit,director,housing,owned unit,director owned,division,public,rental,community,division director,direct,tenure,general,community owned,unit director,direct tenure,tenure public,public rental,rental housing,north,local,area,east,dwelling,unit north,north division,division local,local area,area director,unit east,east division,owned dwelling,dwelling direct,rental general,general housing,public housing,south,total,west,managed,consists,acquisition,client,social,stock,housingrental,application,unit south,south division,unit total,total director,unit west,west division,director managed,managed unit,housing direct,housing consists,consists community,owned acquisition,acquisition community,housing rental,housing public,housing client,client public,housing social,social housing,housing stock,stock rental,general housingrental,housingrental general,housing community,community housing,housing application",www.dhhs.vic.gov.au_sites_default_files_documents_201801_social-housing-specialist-homelessness-services-additional-service-delivery-data-2016-17_2018-01-19.docx,Performance and Reporting Branch,Jasmine Kaul,2018-01-19 03:53:00,2018-01-19 03:53:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_201801_social-housing-specialist-homelessness-services-additional-service-delivery-data-2016-17_2018-01-19.docx,non-confidential,"{'text_contents': {'tags': ['community owned units', 'south division director owned units', 'total director owned units', 'west division director owned units', 'north division local area director owned units', 'north division director owned units', 'east division local area director owned units', 'east division director owned units', 'director owned units', 'other director managed units', 'director owned dwellings', 'direct tenure public rental housing direct tenure public rental housing consists', 'community owned acquisitions', 'community owned dwellings', 'direct tenure public rental housing', 'rental general housing', 'public housing clients', 'public housing', 'social housing stock', 'rental general housingrental general housing', 'community housing applications']}}"
107,"care,child,service,incident,protection,residential,permanent,residential care,permanent care,demand,kinship,support,placement,child protection,protection demand,care service,kinship care,support service,care placement,care residential,demandchild,unborn,protectionservices,typesother,client,matter,family,report,state,foster,unit,demand residential,service permanent,service child,protection demandchild,demandchild protection,demand kinship,care support,service unborn,unborn child,child child,child protectionservices,protectionservices child,child incident,incident typesother,typesother incident,incident client,client incident,incident permanent,placement kinship,placement care,care care,care matter,matter family,family support,service incident,incident report,report state,state care,care permanent,care foster,foster care,care unit",www.dhhs.vic.gov.au_sites_default_files_documents_201812_child_20protection_20and_20family_20services_20additional_20service_20delivery_20data_202017_e2_80_9318.docx,Operational Performance and Quality,Aysegul Baba,2018-12-11 04:48:00,2018-12-11 04:48:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_201812_child_20protection_20and_20family_20services_20additional_20service_20delivery_20data_202017_e2_80_9318.docx,non-confidential,"{'text_contents': {'tags': ['child protection demand', 'residential care services', 'permanent care services', 'child protection demandchild protection demand', 'kinship care support services', 'unborn children', 'child protectionservices', 'were:13,048 children', 'other incident typesother incidents', 'client incidents', 'permanent care placements', 'kinship care placements', 'care', 'residential care', 'care matters', 'family support services', 'incident reports', 'state care', 'permanent care', 'foster care', 'residential care units']}}"
108,"disability,service,incident,support,client,incident disability,disability service,support service,major,impact,funded,specialist,national,insurance,incident incident,service major,major impact,disability support,service disability,national disability,disability insurance,typesother,victorian,government,community,organisation,servicesadditional,delivery,data,behaviour,provider,category,care,schemethe,client incident,incident typesother,typesother incident,impact incident,disability client,client support,support support,service victorian,victorian government,government funded,funded service,service funded,funded community,community service,service organisation,organisation disability,disability servicesadditional,servicesadditional service,service delivery,delivery data,data behaviour,behaviour incident,service provider,provider client,client specialist,specialist disability,impact disability,service category,category specialist,specialist service,disability care,care national,insurance schemethe,schemethe national,insurance disability",www.dhhs.vic.gov.au_sites_default_files_documents_201812_disability_20services_20additional_20service_20delivery_20data_202017_e2_80_9318.docx,Operational Performance and Quality,Aysegul Baba,2018-12-11 04:49:00,2018-12-11 04:49:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_201812_disability_20services_20additional_20service_20delivery_20data_202017_e2_80_9318.docx,non-confidential,"{'text_contents': {'tags': ['client incidents', 'other incident typesother incidents', 'disability services major impact incidents', 'disability clients', 'support supports services', 'victorian government funded services', 'funded community service organisations', 'disability servicesadditional service delivery data', 'behaviour incidents', 'incidents', 'disability support', 'service providers', 'clients', 'specialist disability supports', 'services', 'disability services major impact', 'disability services category', 'specialist services', 'disability care', 'the national disability insurance schemethe national disability insurance', 'disability']}}"
109,"owned,unit,director,housing,owned unit,director owned,division,public,rental,division director,community,stock,direct,tenure,community owned,unit director,housing stock,direct tenure,tenure public,public rental,rental housing,east,dwelling,unit east,east division,owned dwelling,public housing,south,total,north,west,local,area,managed,rangesyarriambiackstate,totaldirector,categoriessocial,managementsocial,consists,acquisition,general,client,social,unit south,south division,unit total,total director,unit north,north division,unit west,west division,division local,local area,area director,director managed,managed unit,unit rangesyarriambiackstate,rangesyarriambiackstate totaldirector,totaldirector owned,dwelling categoriessocial,categoriessocial housing,stock managementsocial,managementsocial housing,stock direct,housing direct,housing consists,consists community,owned acquisition,acquisition community,dwelling direct,housing rental,rental general,general housing,housing public,housing client,client social,social housing,stock public,housing unit",www.dhhs.vic.gov.au_sites_default_files_documents_201812_housing_20assistance_20additional_20service_20delivery_20data_202017_e2_80_9318.docx,Operational Performance and Quality,Aysegul Baba,2018-12-11 04:51:00,2018-12-11 04:51:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_201812_housing_20assistance_20additional_20service_20delivery_20data_202017_e2_80_9318.docx,non-confidential,"{'text_contents': {'tags': ['community owned units', 'south division director owned units', 'total director owned units', 'north division director owned units', 'west division director owned units', 'east division director owned units', 'east division local area director owned units', 'director owned units', 'other director managed units', 'ranges2892012046063019135773yarriambiack19240002001358state total23,99127,7742,5557,5577,6201,2451,32660814,13786,813director owned units', 'director owned dwellings', 'categories6social housing stock management7social housing stock', 'direct tenure public rental housing direct tenure public rental housing consists', 'community owned acquisitions', 'community owned dwellings', 'direct tenure public rental housing', 'rental general housing', 'public housing clients', 'social housing stock', 'public housing', 'units']}}"
110,"owned,unit,director,owned unit,housing,director owned,division,division director,public,rental,community,stock,tenure,community owned,housing stock,tenure public,public rental,east,new,constructiondirector,spot,purchasedirector,leased,indirector,othercommunity,sale,direct,east division,new constructiondirector,constructiondirector owned,owned spot,spot purchasedirector,purchasedirector owned,owned leased,leased indirector,indirector owned,owned othercommunity,owned sale,direct tenure,rental housing,total,south,west,north,local,areadirector,totaldirector,managed,managementsocial,acquisition,dwelling,general,client,social,housingdirect,consists,unit total,total director,unit south,south division,unit west,west division,unit east,unit north,north division,unit local,local areadirector,areadirector owned,owned new,othercommunity director,unit totaldirector,totaldirector owned,unit director,director managed,managed unit,unit new,othercommunity housing,stock managementsocial,managementsocial housing,stock community,owned acquisition,acquisition east,sale community,owned dwelling,dwelling direct,housing rental,rental general,general housing,housing public,public housing,housing client,client social,social housing,stock direct,rental housingdirect,housingdirect tenure,housing consists,consists owned",www.dhhs.vic.gov.au_sites_default_files_documents_201910_housing_20assistance_20additional_20service_20delivery_20data_202018-19.docx,Operational Performance and Quality branch,Sarah Alexander (DHHS),2019-10-09 06:51:00,2019-10-15 04:12:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_201910_housing_20assistance_20additional_20service_20delivery_20data_202018-19.docx,non-confidential,"{'text_contents': {'tags': ['community owned units', 'total director owned units', 'south division director owned units', 'west division director owned units', 'east division director owned units', 'north division director owned units', 'local areadirector owned new constructiondirector owned spot purchasedirector owned leased indirector owned othercommunity', 'director owned units', 'total23,68027,7382,5827,5807,6361,2241,29055813,33885,626director owned units', 'other director managed units', 'new constructiondirector owned spot purchasedirector owned leased indirector owned othercommunity', 'housing stock management8social housing stock', 'community owned acquisitions', 'east division director owned sales', 'community owned dwellings', 'direct tenure public rental housing', 'rental general housing', 'public housing clients', 'social housing stock', 'direct tenure public rental housingdirect tenure public rental housing consists', 'owned sales']}}"
111,"health,family,young,people,mental,mental health,younger,member,child,regular,coronavirus,organization,family member,health organization,discussion,issue,good,habit,many,time,credible,sourceswwwcoronavirusvicgovauaustralian,government,peoplefamilies,posttraumatic,alertsworld,disease,clinical,psychologist,dr,michelle,lim,exercise,younger family,member young,young child,child young,young people,people family,member family,family family,family discussion,discussion mental,health issue,issue child,child good,good health,health habit,habit many,many people,people regular,regular time,time credible,credible sourceswwwcoronavirusvicgovauaustralian,sourceswwwcoronavirusvicgovauaustralian government,government coronavirus,coronavirus health,organization younger,younger young,young peoplefamilies,peoplefamilies posttraumatic,posttraumatic mental,health health,health alertsworld,alertsworld health,organization coronavirus,coronavirus disease,disease people,people mental,health clinical,clinical psychologist,psychologist dr,dr michelle,michelle lim,lim regular,regular exercise",www.dhhs.vic.gov.au_sites_default_files_documents_202004_mental_20health_20covid-19_20information_20for_20parents_20and_20families_20.docx,Vanessa O'Shaughnessy,chris stamenitis,2020-04-02 08:10:00,2020-04-02 08:10:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_202004_mental_20health_20covid-19_20information_20for_20parents_20and_20families_20.docx,non-confidential,"{'text_contents': {'tags': ['younger family members', 'young children', 'young people', 'family member', 'families', 'family discussions', 'mental health issues', 'children', 'good health habits', 'many people', 'regular times', 'credible sources.www.coronavirus.vic.gov.auaustralian government coronavirus', 'health organization', 'younger', 'young peoplefamilies', 'post-traumatic mental health', 'health alertsworld health organization - coronavirus disease', 'people', 'mental health', 'clinical psychologist dr michelle lim', 'regular exercise']}}"
112,"health,mental,family,michelle,lim,mental health,michelle lim,member,coronavirus,people,many,family member,issue,younger,credible,sourceswwwcoronavirusvicgovauaustralian,government,posttraumatic,regular,time,older,clinical,psychologist,dr,isolation,organization,thing,phoenixaustraliaorgdr,healthy,food,positive,emotion,practical,advice,beyond,blue,health issue,issue family,member younger,younger family,member credible,credible sourceswwwcoronavirusvicgovauaustralian,sourceswwwcoronavirusvicgovauaustralian government,government coronavirus,coronavirus posttraumatic,posttraumatic mental,health regular,regular time,time older,older people,people mental,health clinical,clinical psychologist,psychologist dr,dr michelle,lim isolation,isolation health,health organization,organization coronavirus,coronavirus many,many people,people family,family many,many thing,thing michelle,lim phoenixaustraliaorgdr,phoenixaustraliaorgdr michelle,lim healthy,healthy food,food positive,positive emotion,emotion practical,practical advice,advice beyond,beyond blue",www.dhhs.vic.gov.au_sites_default_files_documents_202004_mental_20health_20covid-19_20_20information_20for_20seniors.docx,Vanessa O'Shaughnessy,chris stamenitis,2020-04-02 08:11:00,2020-04-02 08:11:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_202004_mental_20health_20covid-19_20_20information_20for_20seniors.docx,non-confidential,"{'text_contents': {'tags': ['mental health issues', 'family member', 'younger family members', 'credible sources.www.coronavirus.vic.gov.auaustralian government coronavirus', 'post-traumatic mental health', 'regular times', 'older people', 'mental health', 'clinical psychologist dr michelle lim', 'isolation', 'health organization', 'coronavirus', 'many people', 'family', 'many things', 'michelle lim', 'phoenixaustralia.orgdr michelle lim', 'healthy foods', 'positive emotions', 'practical advice', 'beyond blue']}}"
113,"nicotine,withdrawal,lung,smoking,symptom,infection,replacement,therapy,people,risk,stopsmoking,information,nicotine withdrawal,withdrawal symptom,nicotine replacement,replacement therapy,stopping,product,higher,ecigarettes,health,ecigarette,use,medication,medicationsfor,covidfor,aboriginal,quitline,respiratory,tract,stopping smoking,smoking nicotine,symptom lung,lung infection,infection nicotine,therapy product,product people,people risk,risk withdrawal,symptom nicotine,therapy higher,higher risk,risk ecigarettes,ecigarettes smoking,smoking lung,lung health,health lung,lung ecigarette,ecigarette use,use nicotine,withdrawal stopsmoking,stopsmoking medication,medication information,information stopsmoking,stopsmoking medicationsfor,medicationsfor people,people covidfor,covidfor information,information aboriginal,aboriginal quitline,quitline respiratory,respiratory tract,tract infection",www.dhhs.vic.gov.au_sites_default_files_documents_202005_200427_20-_20smoking_20e-cigarette_20fact_20sheet.docx,Emergency Management Communications,Alice York (DHHS),2020-05-04 04:32:00,2020-05-04 04:32:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_202005_200427_20-_20smoking_20e-cigarette_20fact_20sheet.docx,non-confidential,"{'text_contents': {'tags': ['stopping smoking', 'nicotine withdrawal symptoms', 'lung infections', 'nicotine replacement therapy products', 'other people', 'more risk', 'withdrawal symptoms', 'nicotine replacement therapy', 'higher risk', 'e-cigarettes', 'smoking', 'lung health', 'lung', 'e-cigarette use', 'nicotine withdrawal', 'stop-smoking medications', 'more information', 'other stop-smoking medications?for people', 'covid-19).for more information', 'aboriginal quitline', 'respiratory tract infections']}}"
114,"body,infection,control,infection control,funeral,service,health,death,health service,preparation,excessive,fluid,industry,worker,guideline,practice,procedure,deceased,person,director,ppefollow,standard,measure,local,policy,usual,transport,protocol,family,member,cremation,routine,handling,covid,related,bag,body body,body preparation,preparation excessive,excessive body,body fluid,fluid funeral,funeral industry,industry worker,worker infection,control guideline,guideline infection,control practice,practice infection,control procedure,procedure deceased,deceased person,person funeral,funeral service,service funeral,funeral director,director ppefollow,ppefollow standard,standard infection,control infection,control measure,measure local,local health,service policy,policy health,service usual,usual body,body transport,transport protocol,protocol death,death family,family member,member cremation,cremation routine,routine body,body handling,handling covid,covid related,related death,death body,body bag,bag funeral",www.dhhs.vic.gov.au_sites_default_files_documents_202005_covid-19-guidance-handling_20body_20of_20deceased_20person_state_emcone_20-may-2020.docx,,,2020-05-20 06:53:00,2020-05-20 06:54:00,D:\Classification\StructureMe\StructureMe-master\Data\non-confidential\www.dhhs.vic.gov.au_sites_default_files_documents_202005_covid-19-guidance-handling_20body_20of_20deceased_20person_state_emcone_20-may-2020.docx,non-confidential,"{'text_contents': {'tags': ['bodies', 'body preparation', 'excessive body fluids', 'funeral industry workers', 'infection control guidelines', 'infection control practices', 'infection control procedures', 'deceased persons', 'funeral services', 'funeral director', 'ppefollow standard infection control', 'infection control measures', 'local health service policies', 'health services', 'the usual body transport protocols', 'death', 'family members', 'cremation and routine body handling', 'covid-19 related deaths', 'the body bag', 'funerals']}}"
